seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
173550,CONTACT_온라인 마술 공연,20200804,20221231,라온플레이,기타,서울,http://www.culture.go.kr/upload/rdf/21/11/rdf_2021111915314538261.JPG,127.03248455338787,37.485929699207965
220056,MEDIA FOREST,20201120,20221231,여수엑스포컨벤션센터 엑스포홀,미술,,http://www.culture.go.kr/upload/rdf/22/08/show_202208251352118543.jpg,127.746500508793,34.7521895579434
173551,온라인 매직스쿨,20210104,20221231,용용아저씨,기타,경기,http://www.culture.go.kr/upload/rdf/21/11/rdf_2021111915342114116.JPG,126.88282408550978,37.43723945794846
170893,국립중앙도서관 「실감서재」,20210323,20221231,실감서재,미술,서울,http://www.culture.go.kr/upload/rdf/21/09/rdf_2021092715383338725.jpg,127.00322294340722,37.49742196534692
224348,작업의 정석,20210618,20221031,대학로 올래홀,연극,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092315552209929.jpg,127.00354356455514,37.58159338390308
215093,원더풀랜드,20210817,20221231,고양 어린이박물관,미술,,http://www.culture.go.kr/upload/rdf/22/07/show_2022071418215968828.jpg,126.83094408232536,37.629477073898244
185859,S프로젝트_Connected Tunnel,20211221,20221231,소마미술관 2관,미술,서울,http://www.culture.go.kr/upload/rdf/22/05/show_2022053019251874498.JPG,127.118184522722,37.5168648654617
219781,[집밖] 이우환공간 상설전,20220101,20221231,이우환 공간,미술,,http://www.culture.go.kr/upload/rdf/22/08/show_2022082315161227864.png,129.13675088194222,35.16585027975353
210067,울진 국립해양과학관X홀라이트,20220101,20221231,국립해양과학관,기타,,http://www.culture.go.kr/upload/rdf/22/05/show_2022050918491851389.jpg,129.41012353886032,37.07274854245464
215092,도전! 어린이 건축가,20220101,20221231,경기도어린이박물관,미술,,http://www.culture.go.kr/upload/rdf/22/07/show_2022071418485865199.PNG,127.1096573598879,37.2673983419378
210595,오백에삼십,20220101,20221231,세우아트센터,연극,,http://www.culture.go.kr/upload/rdf/22/05/show_2022051817473674684.jpg,127.00399077460514,37.58194926210992
