seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
170893,국립중앙도서관 「실감서재」,2021-03-23,2022-12-31,실감서재,미술,서울,http://www.culture.go.kr/upload/rdf/21/09/rdf_2021092715383338725.jpg,127.0032229,37.49742197
173550,CONTACT_온라인 마술 공연,2020-08-04,2022-12-31,라온플레이,기타,서울,http://www.culture.go.kr/upload/rdf/21/11/rdf_2021111915314538261.JPG,127.0324846,37.4859297
173551,온라인 매직스쿨,2021-01-04,2022-12-31,용용아저씨,기타,경기,http://www.culture.go.kr/upload/rdf/21/11/rdf_2021111915342114116.JPG,126.8828241,37.43723946
185859,S프로젝트_Connected Tunnel,2021-12-21,2022-12-31,소마미술관 2관,미술,서울,http://www.culture.go.kr/upload/rdf/22/05/show_2022053019251874498.JPG,127.1181845,37.51686487
201764,2022 1-2월 토요국악동화,2022-02-05,2022-12-24,국립국악원 (풍류사랑방),기타,서울,http://www.culture.go.kr/upload/rdf/22/01/rdf_2022011221171549159.jpg,127.0095956,37.47747105
202006,오르간 오딧세이 (2~12월),2022-02-16,2022-12-21,롯데콘서트홀,음악,서울,http://www.culture.go.kr/upload/rdf/22/01/rdf_2022011721173365566.jpg,127.1044461,37.5137471
202343,라움 마티네 콘서트,2022-02-22,2022-12-27,소셜베뉴 라움,음악,서울,http://www.culture.go.kr/upload/rdf/22/01/rdf_2022012321171402610.gif,127.0396649,37.50834455
202388,다담,2022-02-23,2022-11-30,국립국악원 우면당,국악,서울,http://www.culture.go.kr/upload/rdf/22/01/rdf_2022012421171544930.jpg,127.0095307,37.47832026
203222,[대전시립연정국악단] 상설공연 &#39;토요국악&#39;,2022-03-12,2022-11-26,대전시립연정국악원,국악,대전,http://www.culture.go.kr/upload/rdf/22/02/show_202202041441970613.jpg,127.389186,36.36637194
203301,연극 옥탑방 고양이,2022-02-01,2022-12-31,대학로 틴틴홀,연극,서울,http://www.culture.go.kr/upload/rdf/22/02/show_20220211950037253.jpg,127.003569,37.58160915
203648,"대전시립연정국악단, 토요국악",2022-03-12,2022-11-26,대전시립연정국악원,국악,대전,http://www.culture.go.kr/upload/rdf/22/02/rdf_2022021021172439381.gif,127.389186,36.36637194
203781,뮤지컬 환타,2022-01-14,2022-12-31,하마씨어터,기타,서울,http://www.culture.go.kr/upload/rdf/22/02/show_2022021410274348977.jpg,127.0027715,37.58226014
203929,요한복음,2022-03-12,2022-11-30,광야아트센터,기타,서울,http://www.culture.go.kr/upload/rdf/22/02/rdf_2022021421171294370.PNG,127.0396392,37.52388687
204025,늘근도둑이야기,2022-03-05,2022-12-31,아트포레스트 아트홀,연극,서울,http://www.culture.go.kr/upload/rdf/22/02/rdf_2022021610535279794.gif,127.0028258,37.58247998
204681,"훈민정음, 천년의 문자 계획",2022-01-21,2022-12-31,국립한글박물관,미술,서울,http://www.culture.go.kr/upload/rdf/22/02/show_2022022813252555773.jpg,126.9804863,37.5210688
205167,판소리 다섯마당: 오색유파전 [대전],2022-03-31,2022-11-24,대전시립연정국악원,국악,대전,http://www.culture.go.kr/upload/rdf/22/03/rdf_2022030721171571878.gif,127.389186,36.36637194
205396,토요마임극장,2022-03-05,2022-12-03,스튜디오QDA,연극,서울,http://www.culture.go.kr/upload/rdf/22/03/rdf_2022031121172335312.jpg,126.8965037,37.51397318
205410,2022 라움 마티네 콘서트,2022-03-29,2022-12-27,소셜베뉴 라움,음악,서울,http://www.culture.go.kr/upload/rdf/22/03/show_2022031510475132933.jpg,127.0396649,37.50834455
